name,country_iso2,is_whs,unesco_site_id,latitude,longitude,coord_source,source,author,license,model_url,note
Site of Palmyra,SY,true,23,34.55417,38.26667,unesco_whc,Sketchfab,arck-project,see model page,https://sketchfab.com/arck-project/collections/cultural-heritage-of-syria-palmyra-b7c7f95b38e1493ea06479f22dda6f32,Collection of Palmyra monuments (Temple of Bel Roman Theatre Monumental Arch)
Babylon,IQ,true,278,32.54197,44.42083,unesco_whc,CyArk / Open Heritage 3D,CyArk,CC (see portal),https://www.cyark.org/projects/babylon,Laser-scan documentation of the Ishtar Gate and temples (2009)
Baalbek,LB,true,294,34.00667,36.20417,unesco_whc,Sketchfab,Arqueomodel3D,see model page,https://sketchfab.com/3d-models/baalbek-complex-lebanon-6a61b4a19fad4b579a6852df145b2360,Full Roman temple complex (Jupiter Bacchus)
Persepolis,IR,true,114,29.93444,52.89028,unesco_whc,Sketchfab,VIGEA - Virtual Geographic Agency,see model page,https://sketchfab.com/3d-models/persepolis-archaeological-site-iran-e8f36eab22ae4e7fb94d3a7cc9939669,Photogrammetry of the Achaemenid terrace
Great Mosque of al-Nuri (Old City of Mosul),IQ,false,,36.34472,43.12972,approx_osm_wikipedia,Sketchfab,JuanAtelier,see model page,https://sketchfab.com/3d-models/al-nuri-great-mosque-reconstruction-e89b568d0cc54fb3a158019acd349fde,Reconstruction of the 12th-c. mosque destroyed by IS in 2017 (not a WHS)
Nimrud (Kalhu),IQ,false,,36.09861,43.32694,approx_osm_wikipedia,Sketchfab / Rekrei,Rekrei (Project Mosul),see model page,https://sketchfab.com/rekrei/collections/rekrei-5a588886a5124fda821d7d9a244bef9d,Crowdsourced reconstructions of Assyrian reliefs bulldozed by IS in 2015 (not a WHS)
Nineveh,IQ,false,,36.35972,43.15250,approx_osm_wikipedia,Sketchfab / Rekrei,Rekrei (Project Mosul),see model page,https://sketchfab.com/rekrei/collections/rekrei-5a588886a5124fda821d7d9a244bef9d,Reconstructed Mosul Museum artefacts from Nineveh (not a WHS)
Petra (Ad-Deir / The Monastery),JO,true,326,30.33056,35.44333,unesco_whc,CyArk / Open Heritage 3D,CyArk,CC (see portal),https://www.cyark.org/projects/petra-ad-deir/overview,"3D documentation of Ad-Deir (the Monastery), Petra's monumental rock-cut facade"
Giza Pyramid Complex,EG,true,86,29.97730,31.13250,approx_giza_pyramids,Sketchfab,Arqueomodel3D,see model page,https://sketchfab.com/3d-models/the-giza-pyramid-complex-egypt-710ce0d3291f4e0ca054482de637028c,Photogrammetry of the three pyramids of Giza (part of the Memphis Pyramid Fields WHS)
Abu Simbel (Great Temple),EG,true,88,22.33722,31.62581,unesco_whc,Sketchfab,v777,CC BY-NC-ND (see model page),https://sketchfab.com/3d-models/abu-simbel-temple-30b16b33c6834cb9aacb6d739a0b7789,Model of the rock-cut Great Temple of Ramesses II (Nubian Monuments WHS)
Hegra - Qasr al-Farid (Mada'in Salih),SA,true,1293,26.78361,37.95500,unesco_whc,Sketchfab,Novxlab,see model page,https://sketchfab.com/3d-models/al-ula-qasr-al-farid-madain-saleh-9b18367aac28420bbc066d65e73b9acd,Photogrammetry of Qasr al-Farid the iconic unfinished Nabataean tomb at Hegra
